epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,241.181,0.62392,0.78121,1.06502,0.96851,0.97142,0.99236,0.94978,0.54855,0.54599,0.79335,0.000255731,0.000255731,0.000255731
72,244.334,0.61764,0.75539,1.0469,0.94816,0.97046,0.99037,0.94175,0.53095,0.56123,0.78999,0.000247484,0.000247484,0.000247484
73,247.66,0.65277,0.78909,1.08943,0.96062,0.96945,0.98866,0.9344,0.55372,0.56429,0.80084,0.000239238,0.000239238,0.000239238
74,250.778,0.59471,0.72497,1.04321,0.96188,0.96908,0.99125,0.94203,0.57006,0.53796,0.81704,0.000230991,0.000230991,0.000230991
75,253.956,0.63461,0.77248,1.07758,0.96631,0.9722,0.9928,0.94247,0.56595,0.52002,0.81168,0.000222744,0.000222744,0.000222744
76,257.077,0.5906,0.73261,1.03663,0.95596,0.96137,0.98785,0.93474,0.54277,0.5131,0.81608,0.000214497,0.000214497,0.000214497
77,260.398,0.55294,0.69816,1.0094,0.9438,0.96105,0.98934,0.93257,0.57573,0.52344,0.82296,0.000206251,0.000206251,0.000206251
78,263.473,0.56463,0.72572,1.03838,0.95846,0.97232,0.99158,0.94088,0.54103,0.51376,0.81184,0.000198004,0.000198004,0.000198004
79,266.886,0.57765,0.72217,1.04092,0.97437,0.97112,0.99178,0.94601,0.5407,0.52025,0.8125,0.000189757,0.000189757,0.000189757
80,270.209,0.59071,0.73883,1.03948,0.9773,0.97528,0.99249,0.94122,0.53808,0.51127,0.81026,0.000181511,0.000181511,0.000181511
81,273.304,0.60003,0.75956,1.04895,0.97293,0.97452,0.99276,0.93503,0.53927,0.50253,0.80719,0.000173264,0.000173264,0.000173264
82,276.627,0.5846,0.72832,1.03478,0.97958,0.96757,0.99277,0.94378,0.53591,0.50436,0.80091,0.000165017,0.000165017,0.000165017
83,279.88,0.59729,0.72541,1.0445,0.97596,0.97023,0.99297,0.94397,0.5395,0.5048,0.80193,0.000156771,0.000156771,0.000156771
84,283.062,0.57974,0.73419,1.04562,0.97929,0.97043,0.99296,0.95351,0.55151,0.51462,0.80236,0.000148524,0.000148524,0.000148524
85,286.391,0.57872,0.71114,1.04426,0.97849,0.96987,0.99294,0.95494,0.54437,0.49942,0.80151,0.000140277,0.000140277,0.000140277
86,289.686,0.55525,0.66254,1.01272,0.9775,0.97253,0.99306,0.95806,0.53072,0.48806,0.79761,0.000132031,0.000132031,0.000132031
87,292.908,0.53067,0.64077,1.00001,0.9806,0.97146,0.99277,0.95327,0.51569,0.47921,0.7933,0.000123784,0.000123784,0.000123784
88,296.252,0.57451,0.71514,1.03628,0.97042,0.98245,0.99251,0.95301,0.5136,0.48182,0.78586,0.000115537,0.000115537,0.000115537
89,299.341,0.58351,0.76028,1.06192,0.97361,0.97595,0.99277,0.95431,0.51084,0.48708,0.77606,0.00010729,0.00010729,0.00010729
90,302.4,0.53987,0.65445,1.02471,0.97449,0.97353,0.99288,0.95479,0.51829,0.49007,0.77397,9.90437e-05,9.90437e-05,9.90437e-05
91,328.174,0.51569,1.005,0.98473,0.96988,0.97346,0.99284,0.95239,0.50938,0.49336,0.77175,9.0797e-05,9.0797e-05,9.0797e-05
92,331.379,0.48893,0.89657,0.96106,0.9576,0.97284,0.99248,0.94805,0.50619,0.52171,0.77086,8.25503e-05,8.25503e-05,8.25503e-05
93,334.486,0.44937,0.78644,0.94723,0.9602,0.96669,0.99343,0.94512,0.51332,0.53289,0.77249,7.43036e-05,7.43036e-05,7.43036e-05
94,337.774,0.46282,0.71699,0.93225,0.96447,0.96552,0.99361,0.95143,0.49778,0.51012,0.76725,6.60569e-05,6.60569e-05,6.60569e-05
95,340.85,0.43644,0.65893,0.91429,0.97793,0.95357,0.99196,0.95668,0.48792,0.49754,0.76358,5.78102e-05,5.78102e-05,5.78102e-05
96,343.976,0.45567,0.68572,0.94525,0.98101,0.95824,0.99385,0.95658,0.48681,0.49829,0.76393,4.95635e-05,4.95635e-05,4.95635e-05
97,347.178,0.42861,0.62838,0.92183,0.97974,0.9586,0.99373,0.96122,0.47635,0.49722,0.76036,4.13168e-05,4.13168e-05,4.13168e-05
98,350.305,0.42034,0.60231,0.91151,0.97564,0.96349,0.99345,0.96193,0.4708,0.49518,0.75736,3.30701e-05,3.30701e-05,3.30701e-05
99,353.387,0.42254,0.61246,0.91992,0.95708,0.98139,0.99334,0.95837,0.47221,0.49399,0.75693,2.48234e-05,2.48234e-05,2.48234e-05
100,356.591,0.44394,0.63134,0.95379,0.9595,0.98308,0.9934,0.95771,0.47207,0.48431,0.75519,1.65767e-05,1.65767e-05,1.65767e-05
